Comments,objectid,barcode_id,RunId_12SVert,RunId_trnL,DateRun,DateFirstAnalyzed,Reads_12SVert,ESVs_12SVert,Reads_trnL,ESVs_trnL,country,name_of_park,location,location_other,date,year,time,latitude,longitude,habitat_final,habitat,habitat_other,has_it_rained_in_the_past_week,sample_type,species_id,species_id_dna,species_id_dna_common,species_id_other,faecal_age,faecal_age_other,faecal_texture,species_sex,species_age,latrine,swab,swab_barcode_id,collector,notes,kafue_section,znp_written_ID,znp_assumption
,159,S060651,JV328,JV327,2025-04-02 00:00:00,,20481,1,95724,32,angola,iona,park,,2023-10-18 00:00:00,2023,0.34166666666666667,-16.90461,12.26995,desert_grassplain,desert_grassland,Grassland,no,faecal,springbok,Antidorcas marsupialis,Springbok,,<24hr,,unknown,Unknown,unknown,no,no,,MC,,,,
,176,S060667,JV328,JV327,2025-04-02 00:00:00,,14930,2,15210,4,angola,iona,park,,2023-10-21 00:00:00,2023,0.74583333333333335,-16.82971,12.41443,mountain,mountain,Rocky mountain,no,faecal,hyaena_brown,Parahyaena brunnea,Brown Hyena,,>24hr,,unknown,Unknown,unknown,no,no,,MC,Young individual,,,
,164,S060703,JV328,JV328,2025-04-02 00:00:00,,17462,1,23473,8,angola,iona,park,,2023-10-18 00:00:00,2023,0.53333333333333333,-17.03487,12.22275,mountain,mountain,Rocky mountain,no,faecal,cow,Bos taurus,Domestic Cow,,<24hr,,unknown,Unknown,unknown,no,no,,MC,,,,
,3554,S060732,JV328,JV328,2025-04-02 00:00:00,,16171,1,25937,62,angola,iona,control,,2024-09-06 00:00:00,2024,0.46875,-15.63756987,12.64190401,desert_grassplain,grassland,,no,faecal,goat,Capra hircus,Domestic Goat,,1-2_days,,hard,unknown,unknown,no,no,,Mic,,,,
,177,S060748,JV328,JV327,2025-04-02 00:00:00,,14825,6,59214,11,angola,iona,park,,2023-10-21 00:00:00,2023,0.74236111111111114,-16.82986,12.41459,mountain,mountain,Rocky mountain,no,faecal,hyaena_brown,Parahyaena brunnea,Brown Hyena,,>24hr,,unknown,Unknown,unknown,no,no,,MC,Young individual,,,
,184,S060773,JV328,JV327,2025-04-02 00:00:00,,18267,1,59289,21,angola,iona,park,,2023-10-22 00:00:00,2023,0.33888888888888891,-1690309,12.27653,desert_grassplain,desert_grassland,Grassland,no,faecal,springbok,Antidorcas marsupialis,Springbok,,>24hr,,unknown,Unknown,unknown,yes,no,,MC,,,,
,4138,S060794,JV328,JV327,2025-04-02 00:00:00,,17632,3,83659,38,angola,iona,park,,2024-09-25 00:00:00,2024,0.36388888888888887,-16.67730765,12.29941096,desert_grassplain,grassland,,no,faecal,jackal_black_backed,Canis mesomelas,Black-backed jackal,,3-7_days,,hard,unknown,unknown,no,no,,MD,,,,
,1491,S060808,JV328,JV328,2025-04-02 00:00:00,,4403,4,33336,19,angola,iona,park,,2024-08-16 00:00:00,2024,0.57152777777777775,-16.32080092,12.42269111,shrubland,shrubland,Shrubland,no,faecal,donkey,Equus asinus,Donkey,,<24hr,,soft,unknown,unknown,no,no,,SC,,,,
,2916,S080891,JV328,JV328,2025-04-02 00:00:00,,12472,1,34362,18,angola,iona,park,,2024-08-21 00:00:00,2024,0.68472222222222223,-16.53232442,12.23077451,desert_gravelplain,desert_gravelplain,Gravelplain,no,faecal,oryx,Oryx gazella,Gemsbok,,<24hr,,hard,unknown,unknown,no,no,,MIC,,,,
,2892,S080892,JV328,JV328,2025-04-02 00:00:00,,13326,2,35651,41,angola,iona,park,,2024-08-21 00:00:00,2024,0.59097222222222223,-16.53737849,12.36929429,shrubland,shrubland,Shrubland,no,faecal,giraffe,Giraffa camelopardalis angolensis,Angolan giraffe,,1-2_days,,hard,unknown,unknown,no,no,,,,,,
,2905,S080900,JV328,JV328,2025-04-02 00:00:00,,17564,1,28668,45,angola,iona,park,,2024-08-21 00:00:00,2024,0.59513888888888888,-16.53571654,12.36799406,shrubland,riverine,,no,faecal,springbok,Antidorcas marsupialis,Springbok,,1-2_days,,hard,unknown,unknown,no,no,,MD,,,,
,3491,S080903,JV328,JV328,2025-04-02 00:00:00,,19028,1,31344,26,angola,iona,park,,2024-09-04 00:00:00,2024,0.66041666666666665,-16.99934855,12.28396803,desert_grassplain,grassland,,no,faecal,cow,Bos taurus,Domestic Cow,,observed,,soft,male,adult,no,no,,EN,,,,
,3003,S080908,JV328,JV328,2025-04-02 00:00:00,,14533,1,25747,6,angola,iona,park,,2024-08-22 00:00:00,2024,0.42083333333333334,-16.53817719,12.23115551,shrubland,shrubland,Shrubland,no,faecal,jackal_black_backed,Canis mesomelas,Black-backed jackal,,1-2_days,,hard,unknown,unknown,no,no,,MD,,,,
,707,S080909,JV328,JV327,2025-04-02 00:00:00,,17543,6,31810,7,angola,iona,park,,2024-07-14 00:00:00,2024,0.4513888888888889,-16.68930786,12.1620866,desert_gravelplain,other,Gravel,no,faecal,zebra_mountain,Parahyaena brunnea,Brown Hyena,,1-2_days,,soft,unknown,unknown,yes,yes,INP202407S27,MIC,,,,
